Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C182 Postcode 2011 to Statistical Area Level 3 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 31 July 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SA3_CODE_2011,SA3_NAME_2011,RATIO,PERCENTAGE,,,,,,,
,,,,,,,,,,,,
0800,0800,70101,Darwin City,1.0,100.0,,,,,,,
0810,0810,70102,Darwin Suburbs,1.0,100.0,,,,,,,
0812,0812,70102,Darwin Suburbs,1.0,100.0,,,,,,,
0820,0820,70101,Darwin City,0.9560502,95.6050174,,,,,,,
0820,0820,70102,Darwin Suburbs,0.0439498,4.3949826,,,,,,,
0822,0822,70102,Darwin Suburbs,0.000485,0.0485015,,,,,,,
0822,0822,70103,Litchfield,0.1435185,14.3518469,,,,,,,
0822,0822,70203,Daly - Tiwi - West Arnhem,0.5406693,54.0669304,,,,,,,
0822,0822,70204,East Arnhem,0.2868828,28.6882819,,,,,,,
0822,0822,70205,Katherine,0.0284444,2.8444394,,,,,,,
0828,0828,70102,Darwin Suburbs,1.0,100.0,,,,,,,
0829,0829,70103,Litchfield,0.9346851,93.4685098,,,,,,,
0829,0829,70104,Palmerston,0.0653149,6.5314877,,,,,,,
0830,0830,70103,Litchfield,0.0002039,0.0203913,,,,,,,
0830,0830,70104,Palmerston,0.9997946,99.9794621,,,,,,,
0832,0832,70103,Litchfield,0.0094635,0.9463487,,,,,,,
0832,0832,70104,Palmerston,0.9905365,99.0536513,,,,,,,
0835,0835,70103,Litchfield,1.0,100.0,,,,,,,
0836,0836,70103,Litchfield,1.0,100.0,,,,,,,
0837,0837,70103,Litchfield,1.0,100.0,,,,,,,
0838,0838,70103,Litchfield,1.0,100.0,,,,,,,
0840,0840,70203,Daly - Tiwi - West Arnhem,0.9990751,99.9075127,,,,,,,
0841,0841,70103,Litchfield,1.0,100.0,,,,,,,
0845,0845,70203,Daly - Tiwi - West Arnhem,1.0,100.0,,,,,,,
0846,0846,70203,Daly - Tiwi - West Arnhem,1.0,100.0,,,,,,,
0847,0847,70203,Daly - Tiwi - West Arnhem,1.0,100.0,,,,,,,
0850,0850,70205,Katherine,1.0,100.0,,,,,,,
0852,0852,50804,Kimberley,0.0006658,0.0665834,,,,,,,
0852,0852,70201,Alice Springs,0.0002504,0.0250407,,,,,,,
0852,0852,70202,Barkly,0.0251289,2.5128864,,,,,,,
0852,0852,70203,Daly - Tiwi - West Arnhem,0.0005826,0.0582582,,,,,,,
0852,0852,70205,Katherine,0.9733723,97.3372307,,,,,,,
