Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C184 Postcode 2011 to Statistical Local Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SLA_MAINCODE_2011,SLA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
,,,,,,,,,,,,
0800,0800,705051018,City - Inner,0.9903045,99.0304471,,,,,,,
0800,0800,705051026,Darwin Waterfront,0.0096953,0.9695316,,,,,,,
0810,0810,705051004,Alawa,0.0719971,7.1997071,,,,,,,
0810,0810,705051014,Brinkin,0.0311707,3.1170687,,,,,,,
0810,0810,705051024,Coconut Grove,0.0964936,9.6493552,,,,,,,
0810,0810,705051034,Jingili,0.0615619,6.1561916,,,,,,,
0810,0810,705051052,Lee Point-Leanyer Swamp,0.0691509,6.9150864,,,,,,,
0810,0810,705051068,Millner,0.083483,8.3482964,,,,,,,
0810,0810,705051074,Moil,0.0685753,6.8575267,,,,,,,
0810,0810,705051078,Nakara,0.0650855,6.5085464,,,,,,,
0810,0810,705051088,Nightcliff,0.1239038,12.3903832,,,,,,,
0810,0810,705051098,Rapid Creek,0.1107234,11.0723434,,,,,,,
0810,0810,705051114,Tiwi,0.0850414,8.504137,,,,,,,
0810,0810,705051118,Wagaman,0.0714211,7.1421101,,,,,,,
0810,0810,705051124,Wanguri,0.0613925,6.1392479,,,,,,,
0812,0812,705051008,Anula,0.1244602,12.4460201,,,,,,,
0812,0812,705051038,Karama,0.2508873,25.088725,,,,,,,
0812,0812,705051048,Leanyer,0.2428109,24.2810854,,,,,,,
0812,0812,705051052,Lee Point-Leanyer Swamp,0.0001624,0.0162374,,,,,,,
0812,0812,705051058,Malak,0.1713142,17.1314183,,,,,,,
0812,0812,705051064,Marrara,0.0747075,7.4707484,,,,,,,
0812,0812,705051134,Wulagi,0.1355918,13.5591837,,,,,,,
0820,0820,705051011,Bayview-Woolner,0.1264368,12.6436818,,,,,,,
0820,0820,705051028,Fannie Bay,0.1354607,13.5460703,,,,,,,
0820,0820,705051044,Larrakeyah,0.1720324,17.2032357,,,,,,,
0820,0820,705051054,Ludmilla,0.0911912,9.1191239,,,,,,,
0820,0820,705051084,Narrows,0.0334934,3.3493435,,,,,,,
0820,0820,705051094,Parap,0.1048335,10.4833488,,,,,,,
0820,0820,705051104,Stuart Park,0.188051,18.805105,,,,,,,
0820,0820,705051108,The Gardens,0.0391557,3.9155739,,,,,,,
0820,0820,705051128,Winnellie,0.014333,1.4332969,,,,,,,
0820,0820,705051138,City - Remainder,0.095012,9.5012043,,,,,,,
0822,0822,705051138,City - Remainder,0.0002449,0.0244933,,,,,,,
0822,0822,705101169,East Arm,0.00024,0.0240041,,,,,,,
0822,0822,705202304,Litchfield (M) - Pt A,0.000117,0.0117026,,,,,,,
0822,0822,705202308,Litchfield (M) - Pt B,0.1434013,14.3401306,,,,,,,
0822,0822,710050540,Belyuen (S),0.0073459,0.7345886,,,,,,,
0822,0822,710050700,Coomalie (S),0.0173527,1.7352672,,,,,,,
0822,0822,710051509,Finniss-Mary,0.0384779,3.8477875,,,,,,,
0822,0822,710054560,Wagait (S),0.0150999,1.5099922,,,,,,,
0822,0822,710104050,Tiwi Islands (S),0.104904,10.4903966,,,,,,,
0822,0822,710154666,West Arnhem (S) Bal,0.2073129,20.7312893,,,,,,,
0822,0822,710251300,East Arnhem (S),0.2868828,28.6882819,,,,,,,
0822,0822,710302200,Katherine (T),0.0004489,0.0448944,,,,,,,
0822,0822,710303600,Roper Gulf (S),0.0279954,2.7995409,,,,,,,
0822,0822,710304505,Victoria-Daly (S) - Wadeye and OS,0.0939435,9.3943548,,,,,,,
0822,0822,710304508,Victoria-Daly (S) Bal,0.0562327,5.623272,,,,,,,
0828,0828,705051064,Marrara,0.0104958,1.0495838,,,,,,,
0828,0828,705051138,City - Remainder,0.2797211,27.9721099,,,,,,,
0828,0828,705101169,East Arm,0.432057,43.2056961,,,,,,,
0828,0828,705202304,Litchfield (M) - Pt A,0.2777261,27.7726101,,,,,,,
0829,0829,705102824,Palmerston (C) Bal,0.0653149,6.5314877,,,,,,,
0829,0829,705202304,Litchfield (M) - Pt A,0.9346627,93.4662709,,,,,,,
0830,0830,705102804,Driver,0.1646299,16.4629909,,,,,,,
0830,0830,705102806,Durack,0.1587308,15.8730786,,,,,,,
0830,0830,705102808,Gray,0.1842764,18.4276436,,,,,,,
0830,0830,705102811,Gunn-Palmerston City,0.0021708,0.2170833,,,,,,,
0830,0830,705102814,Moulden,0.1775423,17.7542318,,,,,,,
0830,0830,705102818,Woodroffe,0.1903993,19.0399293,,,,,,,
0830,0830,705102824,Palmerston (C) Bal,0.122045,12.2045044,,,,,,,
0830,0830,705202304,Litchfield (M) - Pt A,0.0002036,0.020359,,,,,,,
0832,0832,705102802,Bakewell,0.3297649,32.9764863,,,,,,,
0832,0832,705102811,Gunn-Palmerston City,0.2729104,27.2910389,,,,,,,
0832,0832,705102824,Palmerston (C) Bal,0.3965447,39.6544736,,,,,,,
0832,0832,705202308,Litchfield (M) - Pt B,0.00078,0.0780012,,,,,,,
0835,0835,705202308,Litchfield (M) - Pt B,0.9999333,99.9933277,,,,,,,
0836,0836,705202308,Litchfield (M) - Pt B,1.0,100.0,,,,,,,
0837,0837,705202308,Litchfield (M) - Pt B,1.0,100.0,,,,,,,
0838,0838,705202308,Litchfield (M) - Pt B,1.0,100.0,,,,,,,
0840,0840,710051509,Finniss-Mary,0.9990751,99.9075127,,,,,,,
0841,0841,705202308,Litchfield (M) - Pt B,1.0,100.0,,,,,,,
0845,0845,710050700,Coomalie (S),1.0,100.0,,,,,,,
0846,0846,710050700,Coomalie (S),1.0,100.0,,,,,,,
0847,0847,710304508,Victoria-Daly (S) Bal,1.0,100.0,,,,,,,
0850,0850,710302200,Katherine (T),0.9968358,99.6835779,,,,,,,
0850,0850,710303600,Roper Gulf (S),0.0031642,0.3164221,,,,,,,
0852,0852,545053920,Halls Creek (S),0.0004717,0.0471657,,,,,,,
0852,0852,545059340,Wyndham-East Kimberley (S),0.0001942,0.0194177,,,,,,,
0852,0852,710302200,Katherine (T),0.1085168,10.8516825,,,,,,,
0852,0852,710303600,Roper Gulf (S),0.5523587,55.2358666,,,,,,,
0852,0852,710304508,Victoria-Daly (S) Bal,0.2309437,23.0943688,,,,,,,
0852,0852,710350425,Barkly (S) Bal,0.0251289,2.5128864,,,,,,,
0852,0852,710400620,Central Desert (S),0.0823861,8.2386118,,,,,,,
0853,0853,710302200,Katherine (T),1.0,100.0,,,,,,,
0854,0854,710303600,Roper Gulf (S),1.0,100.0,,,,,,,
0860,0860,710350422,Barkly (S) - Tennant Creek,1.0,100.0,,,,,,,
0862,0862,710303600,Roper Gulf (S),0.0870661,8.7066096,,,,,,,
0862,0862,710350425,Barkly (S) Bal,0.9129339,91.2933904,,,,,,,
0870,0870,710400201,Alice Springs (T) - Charles,0.1925429,19.2542881,,,,,,,
0870,0870,710400203,Alice Springs (T) - Heavitree,0.0914864,9.1486448,,,,,,,
0870,0870,710400205,Alice Springs (T) - Larapinta,0.3526831,35.2683117,,,,,,,
0870,0870,710400207,Alice Springs (T) - Ross,0.2816473,28.1647255,,,,,,,
0870,0870,710400208,Alice Springs (T) - Stuart,0.0816403,8.1640299,,,,,,,
0872,0872,435250250,Anangu Pitjantjatjara (AC),0.1157318,11.5731833,,,,,,,
0872,0872,530056620,Ngaanyatjarraku (S),0.0626809,6.2680866,,,,,,,
0872,0872,540053220,East Pilbara (S),0.0200639,2.0063912,,,,,,,
0872,0872,710350425,Barkly (S) Bal,0.1574108,15.7410806,,,,,,,
0872,0872,710400620,Central Desert (S),0.2014449,20.1444902,,,,,,,
