variable,value,freq,unweighted,weighted,diff
Q277_112,1,591,28.50940666,28.77032568,-0.26091902
Q277_112,2,1482,71.49059334,71.22967432,0.26091902
Q277_113,1,443,21.36999518,21.29877668,0.071218493
Q277_113,2,1630,78.63000482,78.70122332,-0.071218493
Q277_114,1,1194,57.59768452,57.99330013,-0.395615616
Q277_114,2,879,42.40231548,42.00669987,0.395615616
Q277_115,1,681,32.85094067,33.13342002,-0.282479356
Q277_115,2,1392,67.14905933,66.86657998,0.282479356
Q277_116,1,562,27.11046792,26.32424242,0.786225505
Q277_116,2,1511,72.88953208,73.67575758,-0.786225505
Q277_117,1,420,20.26049204,19.9841156,0.276376436
Q277_117,2,1653,79.73950796,80.0158844,-0.276376436
Q277_118,1,780,37.62662808,37.67442749,-0.047799419
Q277_118,2,1293,62.37337192,62.32557251,0.047799419
Q277_119,1,723,34.87698987,35.12252077,-0.245530904
Q277_119,2,1350,65.12301013,64.87747923,0.245530904
Q277_120,1,491,23.68547998,23.80858615,-0.123106173
Q277_120,2,1582,76.31452002,76.19141385,0.123106173
Q277_121,1,554,26.72455379,26.62185197,0.10270182
Q277_121,2,1519,73.27544621,73.37814803,-0.10270182
Q277_122,1,238,11.48094549,11.07409452,0.406850967
Q277_122,2,1835,88.51905451,88.92590548,-0.406850967
Q277_123,1,449,21.65943078,21.88464688,-0.225216106
Q277_123,2,1624,78.34056922,78.11535312,0.225216106
Q280_124,1,210,10.13024602,10.41042197,-0.280175948
Q280_124,2,1863,89.86975398,89.58957803,0.280175948
Q280_125,1,137,6.608779547,6.649638369,-0.040858823
Q280_125,2,1936,93.39122045,93.35036163,0.040858823
Q280_126,1,367,17.7038109,17.96088897,-0.257078072
Q280_126,2,1706,82.2961891,82.03911103,0.257078072
Q280_127,1,235,11.33622769,11.52731852,-0.191090826
Q280_127,2,1838,88.66377231,88.47268148,0.191090826
Q280_128,1,210,10.13024602,9.963546286,0.166699734
Q280_128,2,1863,89.86975398,90.03645371,-0.166699734
Q280_129,1,142,6.84997588,6.838859368,0.011116513
Q280_129,2,1931,93.15002412,93.16114063,-0.011116513
Q280_130,1,415,20.01929571,20.18378626,-0.164490556
Q280_130,2,1658,79.98070429,79.81621374,0.164490556
Q280_131,1,127,6.126386879,6.24732677,-0.120939891
Q280_131,2,1946,93.87361312,93.75267323,0.120939891
Q280_132,1,171,8.248914616,8.382443876,-0.13352926
Q280_132,2,1902,91.75108538,91.61755612,0.13352926
Q280_133,1,242,11.67390256,11.69018697,-0.016284412
Q280_133,2,1831,88.32609744,88.30981303,0.016284412
Q280_134,1,124,5.981669079,6.124905346,-0.143236267
Q280_134,2,1949,94.01833092,93.87509465,0.143236267
Q280_135,1,269,12.97636276,13.20578319,-0.229420431
Q280_135,2,1804,87.02363724,86.79421681,0.229420431
Q280_136,1,230,11.09503136,11.05314404,0.041887318
Q280_136,2,1843,88.90496864,88.94685596,-0.041887318
Q287_137,1,872,42.06464062,42.16975473,-0.105114112
Q287_137,2,631,30.43897733,30.704745,-0.265767668
Q287_137,3,523,25.22913652,24.85530777,0.373828749
Q287_137,4,47,2.267245538,2.270192507,-0.002946969
Q287_138,1,545,26.29040039,26.87836986,-0.587969478
Q287_138,2,371,17.89676797,17.99815601,-0.101388039
Q287_138,3,902,43.51181862,42.91212726,0.599691359
Q287_138,4,255,12.30101302,12.21134687,0.089666158
Q287_139,1,672,32.41678726,32.5381332,-0.121345937
Q287_139,2,992,47.85335263,47.97730787,-0.123955238
Q287_139,3,361,17.4143753,17.16656526,0.247810043
Q287_139,4,48,2.315484805,2.317993674,-0.002508869
Q287_140,1,121,5.836951278,5.904425657,-0.067474379
Q287_140,2,505,24.36082972,24.47574876,-0.114919047
Q287_140,3,1329,64.10998553,63.81579792,0.294187608
Q287_140,4,118,5.692233478,5.80402766,-0.111794182
Q287_141,1,234,11.28798842,11.12285296,0.165135462
Q287_141,2,780,37.62662808,37.34083406,0.285794019
Q287_141,3,910,43.89773275,44.11186305,-0.214130297
Q287_141,4,149,7.187650748,7.424449932,-0.236799184
Q287_142,1,233,11.23974916,11.2661989,-0.026449743
Q287_142,2,890,42.93294742,42.99340041,-0.060452992
