"","Sub.Question","Question","Response","Freq","Percent","Count","Type"
"30","Arrange with other people to go out","340.5 - Entertainment - Arrange with other people to go out","3:  Monthly",269,13.45,7,"Likert"
"31","Arrange with other people to go out","340.5 - Entertainment - Arrange with other people to go out","6:  Several times per day",315,15.75,7,"Likert"
"32","Arrange with other people to go out","340.5 - Entertainment - Arrange with other people to go out","7:  Don't know",300,15,7,"Likert"
"33","Arrange with other people to go out","340.5 - Entertainment - Arrange with other people to go out","2:  Less than Once a Month",249,12.45,7,"Likert"
"34","Arrange with other people to go out","340.5 - Entertainment - Arrange with other people to go out","4:  Weekly",285,14.25,7,"Likert"
"35","Arrange with other people to go out","340.5 - Entertainment - Arrange with other people to go out","5:  Daily",335,16.75,7,"Likert"
"36","Arrange with other people to go out","340.5 - Entertainment - Arrange with other people to go out","1: Never",247,12.35,7,"Likert"
"37","Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","349.2 - Engaging with Institutions - Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","2:  Less than Once a Month",308,15.4,7,"Likert"
"38","Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","349.2 - Engaging with Institutions - Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","3:  Monthly",300,15,7,"Likert"
"39","Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","349.2 - Engaging with Institutions - Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","4:  Weekly",273,13.65,7,"Likert"
"40","Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","349.2 - Engaging with Institutions - Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","5:  Daily",270,13.5,7,"Likert"
"41","Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","349.2 - Engaging with Institutions - Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","7:  Don't know",274,13.7,7,"Likert"
"42","Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","349.2 - Engaging with Institutions - Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","1: Never",299,14.95,7,"Likert"
"43","Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","349.2 - Engaging with Institutions - Ask a representative of a public institution for advice on public services (e.g. your local council / municipality)","6:  Several times per day",276,13.8,7,"Likert"
"44","Ask for advice on a medical condition","352.5 - Health - Ask for advice on a medical condition","7:  Don't know",290,14.5,7,"Likert"
"45","Ask for advice on a medical condition","352.5 - Health - Ask for advice on a medical condition","1: Never",257,12.85,7,"Likert"
"46","Ask for advice on a medical condition","352.5 - Health - Ask for advice on a medical condition","4:  Weekly",259,12.95,7,"Likert"
"47","Ask for advice on a medical condition","352.5 - Health - Ask for advice on a medical condition","2:  Less than Once a Month",283,14.15,7,"Likert"
"48","Ask for advice on a medical condition","352.5 - Health - Ask for advice on a medical condition","6:  Several times per day",303,15.15,7,"Likert"
"49","Ask for advice on a medical condition","352.5 - Health - Ask for advice on a medical condition","5:  Daily",299,14.95,7,"Likert"
"50","Ask for advice on a medical condition","352.5 - Health - Ask for advice on a medical condition","3:  Monthly",309,15.45,7,"Likert"
"51","Ask others about a training program","352.2 - Health - Ask others about a training program","4:  Weekly",296,14.8,7,"Likert"
"52","Ask others about a training program","352.2 - Health - Ask others about a training program","3:  Monthly",300,15,7,"Likert"
"53","Ask others about a training program","352.2 - Health - Ask others about a training program","2:  Less than Once a Month",283,14.15,7,"Likert"
"54","Ask others about a training program","352.2 - Health - Ask others about a training program","5:  Daily",281,14.05,7,"Likert"
"55","Ask others about a training program","352.2 - Health - Ask others about a training program","7:  Don't know",304,15.2,7,"Likert"
"56","Ask others about a training program","352.2 - Health - Ask others about a training program","1: Never",258,12.9,7,"Likert"
"57","Ask others about a training program","352.2 - Health - Ask others about a training program","6:  Several times per day",278,13.9,7,"Likert"
"58","At home (in a bedroom or private study)","285.1 - Location of online activity - At home (in a bedroom or private study)","4:  Daily",393,19.65,5,"Likert"
"59","At home (in a bedroom or private study)","285.1 - Location of online activity - At home (in a bedroom or private study)","2:  Once a month",423,21.15,5,"Likert"
"60","At home (in a bedroom or private study)","285.1 - Location of online activity - At home (in a bedroom or private study)","3:  Once a week",403,20.15,5,"Likert"
"61","At home (in a bedroom or private study)","285.1 - Location of online activity - At home (in a bedroom or private study)","5:  Always",389,19.45,5,"Likert"
"62","At home (in a bedroom or private study)","285.1 - Location of online activity - At home (in a bedroom or private study)","1: Never",392,19.6,5,"Likert"
"63","At home (in a family room or other common space)","285.2 - Location of online activity - At home (in a family room or other common space)","3:  Once a week",418,20.9,5,"Likert"
"64","At home (in a family room or other common space)","285.2 - Location of online activity - At home (in a family room or other common space)","5:  Always",395,19.75,5,"Likert"
"65","At home (in a family room or other common space)","285.2 - Location of online activity - At home (in a family room or other common space)","4:  Daily",390,19.5,5,"Likert"
"66","At home (in a family room or other common space)","285.2 - Location of online activity - At home (in a family room or other common space)","2:  Once a month",398,19.9,5,"Likert"
"67","At home (in a family room or other common space)","285.2 - Location of online activity - At home (in a family room or other common space)","1: Never",399,19.95,5,"Likert"
"68","At school or work","285.3 - Location of online activity - At school or work","3:  Once a week",387,19.35,5,"Likert"
"69","At school or work","285.3 - Location of online activity - At school or work","5:  Always",401,20.05,5,"Likert"
"70","At school or work","285.3 - Location of online activity - At school or work","2:  Once a month",393,19.65,5,"Likert"
"71","At school or work","285.3 - Location of online activity - At school or work","4:  Daily",424,21.2,5,"Likert"
"72","At school or work","285.3 - Location of online activity - At school or work","1: Never",395,19.75,5,"Likert"
"73","Being contacted by employers","430.6 - Keeping in touch - Being contacted by employers","4:  Extremely important",514,25.7,4,"Likert"
"74","Being contacted by employers","430.6 - Keeping in touch - Being contacted by employers","1: Not important at all",514,25.7,4,"Likert"
"75","Being contacted by employers","430.6 - Keeping in touch - Being contacted by employers","2:  A little important",497,24.85,4,"Likert"
"76","Being contacted by employers","430.6 - Keeping in touch - Being contacted by employers","3:  Fairly important",475,23.75,4,"Likert"
"77","Betting","430.11 - Keeping in touch - Betting","2:  A little important",519,25.95,4,"Likert"
"78","Betting","430.11 - Keeping in touch - Betting","3:  Fairly important",477,23.85,4,"Likert"
"79","Betting","430.11 - Keeping in touch - Betting","1: Not important at all",494,24.7,4,"Likert"
"80","Betting","430.11 - Keeping in touch - Betting","4:  Extremely important",510,25.5,4,"Likert"
"81","Block messages from someone you don't want to hear from","431.19 - Competencies with digital life - Block messages from someone you don't want to hear from","3:  Neither easy nor difficult",324,16.2,6,"Likert"
"82","Block messages from someone you don't want to hear from","431.19 - Competencies with digital life - Block messages from someone you don't want to hear from","5:  Very difficult",289,14.45,6,"Likert"
"83","Block messages from someone you don't want to hear from","431.19 - Competencies with digital life - Block messages from someone you don't want to hear from","1: Very easy",333,16.65,6,"Likert"
"84","Block messages from someone you don't want to hear from","431.19 - Competencies with digital life - Block messages from someone you don't want to hear from","6:  Don't know",361,18.05,6,"Likert"
"85","Block messages from someone you don't want to hear from","431.19 - Competencies with digital life - Block messages from someone you don't want to hear from","4:  Difficult",348,17.4,6,"Likert"
"86","Block messages from someone you don't want to hear from","431.19 - Competencies with digital life - Block messages from someone you don't want to hear from","2:  Easy",345,17.25,6,"Likert"
"87","Block pop ups (unrequested windows that appear during web surfing)","431.20 - Competencies with digital life - Block pop ups (unrequested windows that appear during web surfing)","4:  Difficult",349,17.45,6,"Likert"
"88","Block pop ups (unrequested windows that appear during web surfing)","431.20 - Competencies with digital life - Block pop ups (unrequested windows that appear during web surfing)","2:  Easy",314,15.7,6,"Likert"
"89","Block pop ups (unrequested windows that appear during web surfing)","431.20 - Competencies with digital life - Block pop ups (unrequested windows that appear during web surfing)","5:  Very difficult",325,16.25,6,"Likert"
"90","Block pop ups (unrequested windows that appear during web surfing)","431.20 - Competencies with digital life - Block pop ups (unrequested windows that appear during web surfing)","1: Very easy",332,16.6,6,"Likert"
